지역,발생일시,복구일시,정전가구
인천광역시 서구,2021.07.22 10:16 , 2021.07.22 10:16,1000
경기도 화성시,2021.07.22 10:16 , 2021.07.22 10:15,1000
경기도 여주시,2021.07.22 10:16 , 2021.07.22 10:16,1000
경기도 부천시,2021.07.22 10:15 , 2021.07.22 10:15,1000
경기도 평택시,2021.07.22 10:15 , 2021.07.22 10:15,1000
경기도 평택시,2021.07.22 10:15 , 2021.07.22 10:16,1000
경기도 안양시 동안구,2021.07.22 10:15 , 2021.07.22 10:24,1320
충청북도 음성군,2021.07.22 10:15 , 2021.07.22 10:10,100
경기도 수원시 권선구,2021.07.22 10:15 , 2021.07.22 10:15,1000
경기도 하남시,2021.07.22 10:15 , 2021.07.22 10:15,1000
경기도 시흥시,2021.07.22 10:15 , 2021.07.22 10:15,1000
인천광역시 강화군,2021.07.22 10:15 , 2021.07.22 10:15,1000
경기도 시흥시,2021.07.22 10:14 , 2021.07.22 10:15,1000
서울특별시 관악구,2021.07.22 10:13 , 2021.07.22 10:12,1000
경기도 안산시 단원구,2021.07.22 10:10 , 2021.07.22 10:15,1000
경기도 용인시 처인구,2021.07.22 10:07 , 2021.07.22 10:16,1000
충청북도 충주시,2021.07.22 10:00 , 2021.07.22 10:36,0
충청북도 충주시,2021.07.22 10:00 , 2021.07.22 10:22,1000
충청북도 충주시,2021.07.22 10:00 , 2021.07.22 10:10,110
경기도 수원시 권선구,2021.07.22 10:00 , 2021.07.22 10:15,1000
경기도 광명시,2021.07.22 10:00 , 2021.07.22 10:15,1000
경기도 이천시,2021.07.22 10:00 , 2021.07.22 10:16,1000
경기도 군포시,2021.07.22 10:00 , 2021.07.22 10:17,1000
경기도 안성시,2021.07.22 10:00 , 2021.07.22 10:24,1000
경기도 광주시,2021.07.22 10:00 , 2021.07.22 10:18,1000
충청북도 청주시 서원구,2021.07.22 10:00 , 2021.07.22 10:20,1000
경기도 성남시 분당구,2021.07.22 09:05 , 2021.07.22 10:15,1000
부산광역시 사상구,2021.07.22 06:05 , 2021.07.22 11:22,1000
경상북도 문경시,2021.07.22 00:00 , 2021.07.22 14:19,2000
